,source,road,direction,f_system,urban_rural,class,miles,year,month_day,interval,day_string,date_time,travel_time_minutes,baseline_mean_TT,percent_change,impact_present,impact_subtype,corridor_response,impact_type,reference_period
77,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,05:00,Thursday,2019-07-04 05:00:00,3.7399999999999998,3.7775,-0.9927200529450718,no,None,None,None,06/2019
78,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,06:00,Thursday,2019-07-04 06:00:00,3.77,4.095,-7.9365079365079305,no,None,None,None,06/2019
79,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,07:00,Thursday,2019-07-04 07:00:00,3.77,3.9324999999999997,-4.132231404958668,no,None,None,None,06/2019
80,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,08:00,Thursday,2019-07-04 08:00:00,3.7600000000000002,3.8974999999999995,-3.527902501603574,no,None,None,None,06/2019
81,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,09:00,Thursday,2019-07-04 09:00:00,3.86,3.955,-2.4020227560050618,no,None,None,None,06/2019
82,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,10:00,Thursday,2019-07-04 10:00:00,3.85,3.9574999999999996,-2.7163613392292985,no,None,None,None,06/2019
83,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,11:00,Thursday,2019-07-04 11:00:00,3.7800000000000002,3.9725,-4.845814977973566,no,None,None,None,06/2019
84,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,12:00,Thursday,2019-07-04 12:00:00,3.92,3.9850000000000003,-1.6311166875784286,no,None,None,None,06/2019
85,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,13:00,Thursday,2019-07-04 13:00:00,3.85,4.029999999999999,-4.466501240694772,no,None,None,None,06/2019
86,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,14:00,Thursday,2019-07-04 14:00:00,3.9000000000000004,4.1175,-5.282331511839693,no,None,None,None,06/2019
